index,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Participant,Activity,Combined
78,0.3404114267000106,0.28790632018530943,0.13882863340563992,0.09523809523809523,0.125,0.125,0.0,1.0,0.04458598726114494,0.11949685534591227,0.15619967793880904,0.5901639344262295,0.3074781069211511,0.0875,0.6343520861722146,0.3656479138277853,0.6430020283975659,0.13142271233049388,0.07226107226107227,0.14488636363636365,0.304473280146485,0.07692307692307693,0.15625,0.35491013542842986,0.3235294117647059,0.3045464469861095,0.42795492328848694,0.35670538727794243,6,Eating,6Eating
79,0.3454732472058269,0.00628206038492323,0.7917570498915402,0.0,0.12109375,0.0625,0.8586772583707843,0.008734040545364741,0.04458598726114494,0.11477987421383841,0.12721417069243207,0.5737704918032787,0.306364612976168,0.053125,0.3597430406852249,0.6402569593147752,0.0,0.0015007914284165588,0.10730769230769231,0.11406249999999998,0.5236422043972131,0.11538461538461539,0.125,0.5935244849989326,0.4411764705882353,0.37752607446969294,0.4334462495679227,0.2410313321553254,6,Eating,6Eating
80,0.40086897863560966,0.18368226785174807,0.7722342733188721,0.2619047619047619,0.140625,0.0625,0.8828675360746847,0.0050713973174046365,0.23566878980891595,0.21383647798742167,0.11755233494364126,0.5573770491803278,0.36741584480802547,0.365625,0.21500677358737935,0.7849932264126206,0.1075050709939148,0.06925685705050211,0.14599686028257455,0.14668367346938774,0.6039842338797904,0.15384615384615385,0.15625,0.6759708158313018,0.08823529411764706,0.32400414188953647,0.45759090757926774,0.3065605740636989,6,Eating,6Eating
81,0.6325985044791965,0.28678490750505636,0.7722342733188721,0.47619047619047616,0.5,0.8125,0.777207405014412,0.014299614446179248,0.617834394904458,0.528301886792453,0.47181964573269103,0.7204918032786883,0.6116857516840384,0.43125,0.4219542432097374,0.5780457567902626,0.18052738336713997,0.13072969150178212,0.03765182186234818,0.18289473684210517,0.02898608577196399,0.038461538461538464,0.1875,0.02750039160513909,0.20588235294117646,0.6581511722572413,0.4267230468151021,0.5777701159332851,6,Eating,6Eating
82,0.7277615617552039,0.17221379527948874,0.8329718004338394,0.47619047619047616,0.59375,0.8125,0.7760160121832278,0.012894203690794956,0.6496815286624198,0.6588050314465393,0.6135265700483093,0.7868852459016393,0.7078111689678114,0.3,0.32161359397665273,0.6783864060233473,0.12373225152129817,0.06347152308117616,0.03846153846153848,0.18749999999999997,0.31311667744128097,0.038461538461538464,0.1875,0.35885809021850107,0.14705882352941177,0.4321462413267944,0.6404860930802302,0.9273695374022357,6,Eating,6Eating
85,0.620745701105961,0.12674476513919358,0.8004338394793926,0.42857142857142855,0.4921875,0.59375,0.7916203849883654,0.022598516729359478,0.42675159235668697,0.49685534591194985,0.4847020933977458,0.7377049180327869,0.5953120440874136,0.1875,0.4741313808109414,0.5258686191890584,0.13793103448275862,0.04231633055933729,0.11538461538461539,0.12499999999999999,0.4584580266322973,0.11538461538461539,0.125,0.5204952615394797,0.14705882352941177,0.32172734320779794,0.536271406748532,0.7053088935941271,6,Rest1,6Rest1
86,0.6968108401580236,0.2176315532175366,0.8177874186550976,0.5476190476190477,0.58984375,0.5625,0.789873875635227,0.018032629187221125,0.5859872611464961,0.5911949685534592,0.6135265700483093,0.7688524590163935,0.6766378554940996,0.296875,0.43519066927878264,0.5648093307212172,0.16227180527383367,0.08773922977578912,0.0,0.21609042553191485,0.02551106028093224,0.0,0.21875,0.019981882145719655,0.20588235294117646,0.6097464754306614,0.7009530393560816,0.42485965681253574,6,Rest1,6Rest1
87,0.6774090551762003,0.23474730120951753,0.8177874186550976,0.5476190476190477,0.53125,0.375,0.8184374206879506,0.010152809814794826,0.6050955414012749,0.5833333333333335,0.5169082125603867,0.7377049180327869,0.6568695526306094,0.425,0.32161359397665273,0.6783864060233473,0.16227180527383367,0.09771786289203284,0.0,0.34374999999999994,0.03610583228412611,0.0,0.34375,0.02205576333556031,0.20588235294117646,0.23476530945604754,0.6209208837689157,0.8953415599299125,6,Rest1,6Rest1
88,0.5895070752374137,0.11332924830203982,0.8503253796095445,0.38095238095238093,0.40625,0.28125,0.8973472589178887,0.013117292762465907,0.41401273885350387,0.40251572327044044,0.4009661835748796,0.7049180327868853,0.5624882567529897,0.1875,0.29881454336740326,0.7011854566325968,0.07505070993914807,0.03665241749595135,0.0,0.17847938144329892,0.02052574161458389,0.0,0.1875,0.01451417412090831,0.2647058823529412,0.6471979716999992,0.6601089318740527,0.29939555229927195,6,Rest1,6Rest1
89,0.5506287109823512,0.16153663194226803,0.8503253796095445,0.5714285714285714,0.3359375,0.25,1.0,0.05076666119860767,0.32484076433120945,0.3396226415094342,0.32367149758454133,0.6745901639344263,0.5229578711245585,0.1875,0.1038433519503743,0.8961566480496257,0.13995943204868155,0.05818609685419341,0.0,0.17847938144329892,0.022653185179436337,0.0,0.1875,0.021173545071155868,0.20588235294117646,0.7174093152825302,0.6003883224297947,0.16633086238848407,6,Rest1,6Rest1
90,0.5935588810625324,0.1963657182011239,0.8177874186550976,0.5714285714285714,0.40625,0.21875,0.9182573539276248,0.020366506919930603,0.4315286624203814,0.4150943396226419,0.4025764895330111,0.6721311475409836,0.5685170681751225,0.38125,0.24776287614110248,0.7522371238588978,0.17038539553752535,0.07596957942548382,0.11295546558704453,0.27467105263157887,0.46459132608891746,0.11538461538461539,0.28125,0.5255351244562586,0.14705882352941177,0.6671123568986957,0.409524156052073,0.5772475541955778,6,Rest1,6Rest1
92,0.6057922178806779,0.2194745494611069,0.8004338394793926,0.40476190476190477,0.5,0.46875,0.7555397374765098,0.012744762273220992,0.4585987261146488,0.528301886792453,0.5169082125603867,0.678688524590164,0.5818507777697399,0.2875,0.6887569262014612,0.31124307379853844,0.12981744421906694,0.088755147257097,0.0,0.08859536082474224,0.012558995917743511,0.0,0.09375,0.008322217732806086,0.17647058823529413,0.8007852857867843,0.6620230539716252,0.0,6,SocialCon,6SocialCon
