,min,max,median,mode,80_percentile,20_percentile,COV_M,RMSSD,zcross,Lf,Induced
0,0.3559322033898305,0.241635687732342,0.39819004524886875,0.42857142857142855,0.29450139794967367,0.46413137424373374,0.04194600799838326,0.11712503494209521,0.6538461538461539,0.4960001924397888,1
1,0.5084745762711864,0.2527881040892193,0.4343891402714932,0.42857142857142855,0.33178005591798676,0.4987035436473638,0.018001371182063602,0.1626440878319777,0.7692307692307693,0.29233679450403305,1
2,0.3898305084745763,0.2527881040892193,0.416289592760181,0.42857142857142855,0.29450139794967367,0.48141745894554877,0.028038673543601025,0.13233160702436172,0.6923076923076923,0.3209236067717504,1
3,0.3898305084745763,0.29739776951672864,0.42081447963800905,0.42857142857142855,0.35507921714818247,0.48141745894554877,0.05590648013202704,0.061481001712393964,0.38461538461538464,0.3247170632057841,1
4,0.5296610169491526,0.29739776951672864,0.5090497737556561,0.49206349206349204,0.38769804287045645,0.5514261019878999,0.026280199564833094,0.06621135384016442,0.5384615384615384,0.3532486754095695,1
5,0.576271186440678,0.19330855018587362,0.47058823529411764,0.49206349206349204,0.35507921714818247,0.5332757130509939,0.011933451121926028,0.04459523962451943,0.6153846153846154,0.45107715201144283,1
6,0.5254237288135594,0.29739776951672864,0.48868778280542985,0.5079365079365079,0.38769804287045645,0.5505617977528089,0.03172577849064221,0.08166736486359344,0.5384615384615384,0.37012581496458785,1
7,0.5254237288135594,0.4163568773234201,0.5972850678733032,0.5873015873015873,0.5414725069897479,0.6024200518582541,0.06054264008668162,0.16336728075008328,0.5384615384615384,0.438406094537573,1
8,0.5805084745762712,0.4163568773234201,0.583710407239819,0.5555555555555556,0.5368126747437089,0.6024200518582541,0.05496637148170443,0.16159055269770678,0.6153846153846154,0.5942174134335949,1
9,0.461864406779661,0.3903345724907063,0.5113122171945701,0.5079365079365079,0.4436160298229261,0.5159896283491788,0.08956383959719602,0.1587542734699367,0.6923076923076923,0.3934550819232399,1
10,0.0,0.0,0.0,0.0,0.0,0.007778738115816572,0.13383395940363782,0.050285506615394895,0.34615384615384615,0.05721544408083726,1
11,0.22033898305084745,0.16356877323420074,0.18099547511312217,0.15873015873015872,0.13140726933830388,0.22212618841832318,0.0741634991686132,0.09660703658700703,0.5,0.17375436555497953,1
12,0.22033898305084745,0.16356877323420074,0.20135746606334842,0.30158730158730157,0.10904007455731517,0.2359550561797754,0.06826115567291413,0.10709023923023714,0.5769230769230769,0.2487858538427437,1
13,0.22033898305084745,0.30111524163568776,0.25565610859728505,0.30158730158730157,0.2684063373718555,0.2981849611063085,0.125660558167507,0.1377792850298354,0.4230769230769231,0.4019999940296458,1
14,0.3559322033898305,0.35687732342007433,0.36199095022624433,0.3968253968253968,0.39515377446411915,0.37770095073465854,0.13353710262475893,0.18756524379189873,0.34615384615384615,0.27587141051110686,1
